u,v,length_m,free_flow_kph,speed_offpeak_kph,speed_rush_kph,travel_time_offpeak_s,travel_time_rush_s
606898401,2030033826,54.62,20.0,20.0,15.61,9.83,12.6
606898405,606898401,53.2,20.0,19.8,12.03,9.67,15.92
606898405,10901513800,136.86,30.0,30.0,21.99,16.42,22.4
606898405,9399387364,249.96,30.0,30.0,19.04,30.0,47.26
606898409,606843694,52.63,20.0,20.0,11.74,9.48,16.14
606898413,606898401,44.62,20.0,19.98,12.54,8.04,12.81
606898413,10901528009,92.29,20.0,20.0,15.75,16.61,21.1
606898413,606898418,41.21,20.0,19.99,15.96,7.42,9.3
606898418,606898422,45.03,20.0,19.96,14.57,8.12,11.13
606898418,606898413,41.21,20.0,19.95,15.46,7.43,9.6
606898418,10901528010,91.38,20.0,19.96,14.88,16.48,22.1
606898422,606898449,46.03,20.0,19.99,14.59,8.29,11.36
606898422,606898418,45.03,20.0,19.92,17.29,8.14,9.38
606898422,10901528011,90.42,20.0,19.99,14.65,16.28,22.22
606898435,10901528010,64.75,20.0,19.74,12.91,11.81,18.06
606898435,2448340673,45.18,20.0,20.0,12.17,8.13,13.36
606898435,10901528009,107.31,20.0,19.98,13.22,19.33,29.23
606898446,606898449,38.78,20.0,19.91,11.98,7.01,11.65
606898446,10901513796,88.61,20.0,19.97,12.18,15.97,26.2
606898446,606843694,46.44,20.0,20.0,12.97,8.36,12.89
606898449,606898446,38.78,20.0,19.95,13.7,7.0,10.19
606898449,606898422,46.03,20.0,19.99,12.22,8.29,13.57
606898449,10901528012,89.44,20.0,19.98,13.74,16.12,23.44
606898452,10901528012,64.59,20.0,19.98,12.23,11.64,19.01
606898452,2448340673,45.25,20.0,20.0,13.88,8.15,11.74
606898452,10901513796,105.61,20.0,19.96,16.68,19.04,22.79
660612481,13985481808,31.62,30.0,29.99,19.51,3.8,5.83
660612481,660612482,22.32,40.0,39.77,28.83,2.02,2.79
660612482,7111517641,36.56,40.0,39.96,26.14,3.29,5.04
660612488,2286587593,150.46,40.0,39.62,26.08,13.67,20.77
660612489,660612488,75.82,25.0,24.7,18.57,11.05,14.69
660612489,6153163259,369.28,40.0,39.76,25.92,33.43,51.29
660612494,10956721353,49.12,20.0,19.86,15.29,8.9,11.57
660612494,3391745538,79.26,40.0,39.87,30.07,7.16,9.49
660612503,2037561275,140.05,40.0,40.0,28.37,12.6,17.77
660612535,13851943363,167.26,40.0,39.94,30.88,15.07,19.5
660612535,10748591326,59.99,40.0,39.98,23.49,5.4,9.19
660612537,660612535,82.26,40.0,40.0,26.84,7.4,11.03
660612537,2286587679,53.79,20.0,19.68,16.17,9.84,11.98
1307070988,1307099838,9.77,30.0,30.0,19.27,1.17,1.83
1307070988,9523236069,95.4,20.0,20.0,15.23,17.17,22.54
1307078214,9518964795,208.89,20.0,20.0,12.69,37.6,59.25
1307078214,9518994970,130.14,30.0,30.0,24.81,15.62,18.88
1307078214,2073253037,99.15,30.0,29.98,18.19,11.91,19.62
1307078218,9526339635,1004.07,30.0,29.94,21.99,120.71,164.35
1307078218,9526314838,214.77,30.0,29.17,21.8,26.5,35.47
1307078218,2081026442,107.66,30.0,29.96,23.81,12.94,16.28
1307082412,9523390620,49.52,20.0,19.99,11.89,8.92,15.0
1307082412,1307082528,36.47,30.0,29.94,21.76,4.38,6.03
1307082412,2084442676,39.3,30.0,30.0,23.67,4.72,5.98
1307082416,9523383809,166.04,30.0,30.0,18.28,19.93,32.69
1307082433,9526314836,21.14,30.0,30.0,19.64,2.54,3.87
1307082433,9526532834,57.39,20.0,19.87,14.93,10.4,13.84
1307082433,9526314829,32.25,30.0,29.99,21.88,3.87,5.31
1307082443,10967606829,25.93,25.0,24.97,17.21,3.74,5.42
1307082443,10970175736,377.34,30.0,30.0,17.58,45.29,77.28
1307082443,9526302569,108.03,30.0,29.93,23.7,13.0,16.41
1307082492,9526314831,65.65,20.0,19.88,12.78,11.89,18.49
1307082492,9526314832,27.37,30.0,29.95,17.25,3.29,5.71
1307082492,9526314829,17.49,30.0,29.74,21.45,2.12,2.93
1307082500,9523390617,40.8,20.0,19.83,12.74,7.41,11.53
1307082500,9523383813,52.24,30.0,30.0,26.28,6.27,7.16
1307082500,1307082528,37.07,30.0,30.0,20.82,4.45,6.41
1307082528,2084442476,163.4,20.0,20.0,18.21,29.42,32.3
1307082528,1307082500,37.07,30.0,30.0,21.64,4.45,6.17
1307082528,1307082412,36.47,30.0,29.9,24.32,4.39,5.4
1307085305,2036321493,96.46,20.0,19.95,14.7,17.4,23.62
1307085305,2036321516,198.07,30.0,29.43,21.48,24.23,33.2
1307085305,9532590502,110.81,30.0,27.88,22.02,14.31,18.12
1307085343,2035042973,8.14,20.0,20.0,13.87,1.47,2.11
1307085343,1307085404,5.8,30.0,29.57,22.96,0.71,0.91
1307085343,2037508008,149.26,30.0,30.0,21.91,17.91,24.53
1307085369,2037507884,100.8,20.0,19.88,17.02,18.26,21.31
1307085369,2037507451,155.72,30.0,29.97,18.46,18.71,30.36
1307085369,2035044804,43.56,30.0,29.95,18.62,5.24,8.42
1307085373,2035044809,28.38,20.0,19.4,13.99,5.27,7.3
1307085373,2035044808,77.78,20.0,19.88,12.57,14.08,22.28
1307085373,2036319921,27.81,20.0,19.93,14.62,5.02,6.85
1307085404,2035042944,8.42,30.0,29.89,21.02,1.01,1.44
1307085404,1307085343,5.8,30.0,29.99,19.88,0.7,1.05
1307099838,1307070988,9.77,30.0,30.0,21.59,1.17,1.63
1307099838,1307100334,91.8,20.0,19.99,14.15,16.54,23.35
1307099838,2126216468,66.93,30.0,29.99,19.89,8.03,12.11
1307100151,2072832667,27.73,20.0,20.0,13.85,4.99,7.21
1307100334,1307099838,91.8,20.0,19.99,17.2,16.53,19.21
1307100334,2072832852,188.63,20.0,19.84,13.27,34.23,51.16
1662189551,1662217191,129.0,20.0,19.97,13.69,23.26,33.92
1662200737,1662200811,81.44,20.0,19.92,14.04,14.72,20.88
1662200739,1717368907,100.61,20.0,20.0,14.4,18.11,25.14
1662200739,1703299180,31.65,20.0,20.0,14.74,5.7,7.73
1662200739,1662200864,55.71,20.0,20.0,12.07,10.03,16.61
1662200740,1662200815,51.97,20.0,19.99,17.54,9.36,10.67
1662200740,1662200775,117.16,20.0,19.96,12.33,21.13,34.2
1662200740,1662200765,121.16,20.0,19.87,14.43,21.96,30.23
1662200740,1662200867,60.29,20.0,19.97,17.46,10.87,12.43
1662200742,1662200772,103.43,20.0,20.0,13.55,18.62,27.47
1662200753,1717368907,78.21,20.0,19.99,11.84,14.08,23.77
1662200765,1662200817,52.65,20.0,20.0,15.09,9.48,12.56
1662200765,1662200776,51.88,20.0,19.93,15.21,9.37,12.28
1662200765,1662200740,121.16,20.0,19.96,15.45,21.85,28.23
1662200770,1662200815,101.27,20.0,19.96,14.15,18.27,25.76
1662200772,1662200742,103.43,20.0,20.0,15.28,18.62,24.36
1662200772,3048210165,56.51,20.0,20.0,16.48,10.17,12.35
1662200772,1662200867,18.26,20.0,19.98,14.68,3.29,4.48
1662200775,1662200740,117.16,20.0,20.0,12.49,21.09,33.76
1662200776,1662200879,22.86,20.0,19.99,14.64,4.12,5.62
1662200776,1662200765,51.88,20.0,20.0,15.66,9.34,11.93
1662200776,1662200867,133.59,20.0,19.67,11.67,24.45,41.22
1662200811,1662200815,52.43,20.0,19.79,11.65,9.54,16.2
1662200811,1662200864,120.56,20.0,19.99,12.61,21.71,34.42
1662200811,1662200737,81.44,20.0,20.0,13.4,14.66,21.88
1662200811,1717368907,56.88,20.0,19.98,17.59,10.25,11.64
1662200815,1662200811,52.43,20.0,19.99,11.98,9.44,15.76
1662200815,1662200740,51.97,20.0,20.0,12.81,9.36,14.61
1662200815,1662200817,120.86,20.0,20.0,12.95,21.76,33.61
1662200815,1662200770,101.27,20.0,19.99,15.97,18.24,22.84
1662200817,1662200765,52.65,20.0,19.38,17.02,9.78,11.14
1662200817,1662200815,120.86,20.0,19.98,13.39,21.78,32.49
1662200817,1662200864,51.96,20.0,20.0,17.88,9.35,10.46
1662200864,1662200811,120.56,20.0,19.98,14.4,21.72,30.13
1662200864,1662200739,55.71,20.0,20.0,14.76,10.03,13.59
1662200864,1662200817,51.96,20.0,20.0,16.48,9.35,11.35
1662200867,1662200776,133.59,20.0,20.0,14.87,24.05,32.34
1662200867,1662200772,18.26,20.0,19.99,14.13,3.29,4.65
1662200867,1662200740,60.29,20.0,19.97,12.2,10.87,17.79
1662200879,1662200776,22.86,20.0,20.0,14.15,4.11,5.82
1662217178,1662217198,71.28,20.0,19.88,12.01,12.91,21.37
1662217179,1720699539,106.31,20.0,20.0,15.36,19.14,24.91
1662217180,1662217206,62.79,20.0,19.95,12.29,11.33,18.4
1662217180,1662217259,52.33,20.0,19.19,13.42,9.82,14.03
1662217180,1662217236,116.0,20.0,19.98,12.78,20.9,32.67
1662217188,1662217201,112.82,20.0,20.0,12.48,20.31,32.54
1662217189,6017751331,47.52,20.0,19.89,15.95,8.6,10.73
1662217189,1662217264,54.0,20.0,19.98,19.06,9.73,10.2
1662217189,1662217263,76.94,20.0,20.0,12.15,13.85,22.8
1662217191,1662189551,129.0,20.0,20.0,16.96,23.22,27.39
1662217191,1662217233,117.39,20.0,19.49,15.39,21.68,27.46
1662217191,6469944881,45.78,20.0,20.0,18.26,8.24,9.03
1662217191,1662217221,51.58,20.0,19.94,13.13,9.31,14.15
1662217195,1662217215,70.3,20.0,19.99,15.46,12.66,16.37
1662217195,1662217218,62.99,20.0,20.0,17.39,11.34,13.04
1662217195,1664545504,52.71,20.0,19.95,13.1,9.51,14.48
1662217198,1662217178,71.28,20.0,19.99,12.71,12.84,20.19
1662217198,1662217238,53.95,20.0,19.99,13.86,9.72,14.01
1662217198,1662217199,54.73,20.0,19.45,15.99,10.13,12.32
1662217199,1662217198,54.73,20.0,20.0,13.09,9.85,15.05
1662217199,1663968701,47.09,30.0,29.93,19.21,5.66,8.83
1662217201,6017751331,46.31,20.0,19.9,16.77,8.38,9.94
1662217201,1662217218,53.61,20.0,19.99,15.3,9.65,12.62
1662217201,1662217188,112.82,20.0,19.99,13.28,20.32,30.58
1662217203,1662217244,69.82,20.0,19.85,19.0,12.66,13.23
1662217206,1662217180,62.79,20.0,19.97,12.5,11.32,18.08
1662217215,1662217195,70.3,20.0,19.96,14.36,12.68,17.62
1662217217,1662217264,57.57,20.0,19.88,14.24,10.42,14.55
1662217218,1662217201,53.61,20.0,20.0,17.41,9.65,11.09
1662217218,1662217195,62.99,20.0,19.97,14.4,11.35,15.75
1662217218,9399387355,25.56,20.0,19.99,13.03,4.6,7.06
1662217221,1662217235,115.84,20.0,20.0,15.95,20.85,26.15
1662217221,1662217191,51.58,20.0,19.95,14.66,9.3,12.66
1662217221,1662217259,51.11,20.0,19.88,17.7,9.25,10.4
1662217222,1662217248,52.33,20.0,19.97,13.32,9.43,14.15
1662217222,1662217238,50.17,20.0,19.98,18.21,9.04,9.92
1662217222,1662217226,109.07,20.0,19.99,14.6,19.64,26.9
1662217224,1662217248,124.06,20.0,20.0,15.18,22.33,29.42
1662217225,1662217238,91.47,20.0,20.0,12.81,16.46,25.71
1662217226,1662217222,109.07,20.0,20.0,14.85,19.63,26.44
1662217233,1662217240,44.45,20.0,20.0,12.8,8.0,12.5
1662217233,1662217191,117.39,20.0,20.0,12.46,21.13,33.93
1662217233,1662217235,51.16,20.0,19.97,13.62,9.22,13.52
1662217235,1662217221,115.84,20.0,20.0,15.93,20.86,26.18
1662217235,1662217233,51.16,20.0,19.99,15.31,9.22,12.03
1662217235,1662217246,50.97,20.0,20.0,12.61,9.17,14.55
1662217236,1664545502,52.06,20.0,20.0,12.25,9.37,15.3
1662217236,1662217246,54.7,20.0,20.0,17.41,9.85,11.31
1662217236,1662217180,116.0,20.0,20.0,16.11,20.88,25.92
1662217238,1662217222,50.17,20.0,20.0,14.01,9.03,12.89
1662217238,1662217198,53.95,20.0,19.11,15.04,10.16,12.91
1662217238,1662217225,91.47,20.0,19.61,15.02,16.79,21.92
1662217240,1662217233,44.45,20.0,19.9,17.03,8.04,9.4
1662217240,6469944881,118.01,20.0,19.94,15.29,21.31,27.78
1662217240,1720646086,29.16,20.0,19.99,17.04,5.25,6.16
1662217244,1662217203,69.82,20.0,19.99,18.39,12.57,13.67
1662217244,1719366024,52.34,20.0,19.91,15.78,9.46,11.94
1662217244,1662217248,125.77,20.0,19.94,13.35,22.7,33.91
1662217246,1662217259,115.91,20.0,19.08,17.44,21.88,23.93
1662217246,1662217236,54.7,20.0,20.0,18.53,9.85,10.63
1662217246,1662217235,50.97,20.0,19.98,18.14,9.18,10.12
1662217248,1662217222,52.33,20.0,20.0,13.75,9.42,13.71
1662217248,1662217224,124.06,20.0,20.0,15.71,22.33,28.44
1662217248,1662217244,125.77,20.0,20.0,12.43,22.64,36.43
1662217259,1662217246,115.91,20.0,20.0,15.62,20.86,26.71
1662217259,1662217221,51.11,20.0,19.98,17.37,9.21,10.6
1662217259,1662217180,52.33,20.0,20.0,13.03,9.42,14.46
1662217263,1662217189,76.94,20.0,20.0,14.17,13.85,19.55
1662217264,1662217189,54.0,20.0,19.92,11.56,9.76,16.81
1662217264,1662217217,57.57,20.0,19.98,12.57,10.37,16.48
1662217264,1663300568,58.7,20.0,19.6,13.35,10.78,15.83
1662277126,1662278337,11.34,20.0,19.89,14.98,2.05,2.73
1662277126,2026293364,45.3,20.0,20.0,12.78,8.15,12.76
1662277127,1662278354,11.68,20.0,19.9,12.98,2.11,3.24
1662277127,2026293286,39.11,20.0,19.93,11.73,7.06,12.0
1662277131,1662277136,46.45,20.0,20.0,14.24,8.36,11.74
1662277131,2026293341,169.82,20.0,19.91,12.73,30.71,48.01
1662277136,1662278405,10.16,20.0,20.0,13.34,1.83,2.74
1662277136,6510442357,67.2,20.0,19.99,13.62,12.1,17.76
1662278327,6510687969,19.11,20.0,19.97,13.33,3.44,5.16
1662278327,2026297928,53.82,20.0,20.0,15.38,9.69,12.6
1662278337,1662277126,11.34,20.0,19.93,15.38,2.05,2.65
1662278337,6510813690,78.96,20.0,19.98,13.55,14.23,20.98
1662278354,1662277127,11.68,20.0,20.0,16.27,2.1,2.58
1662278354,1662278327,147.26,20.0,19.92,13.07,26.62,40.57
1662278398,2026297950,62.07,20.0,20.0,15.29,11.17,14.62
1662278398,1662278354,60.82,20.0,20.0,13.75,10.95,15.92
1662278405,1662277136,10.16,20.0,20.0,15.94,1.83,2.29
1662278405,1662278398,20.44,20.0,20.0,16.21,3.68,4.54
1662331541,2016498858,345.66,35.0,34.97,25.96,35.58,47.94
1662331618,1662331541,99.5,35.0,35.0,24.63,10.23,14.55
1662341075,293685322,42.4,20.0,19.98,17.05,7.64,8.95
1662341075,5524944759,36.34,20.0,19.85,15.82,6.59,8.27
1662341075,1662341079,122.54,20.0,19.88,14.93,22.19,29.54
1662341079,293685287,78.19,20.0,20.0,13.53,14.07,20.81
1662341079,293685331,38.61,20.0,19.99,15.47,6.95,8.98
1662341079,1662341075,122.54,20.0,20.0,12.83,22.06,34.4
1662343218,293685305,41.21,20.0,20.0,13.54,7.42,10.95
1662343218,2030023040,78.11,20.0,19.96,13.61,14.09,20.66
1662343218,293685311,44.3,20.0,18.78,14.08,8.49,11.32
1662352015,1664545543,16.37,35.0,35.0,22.01,1.68,2.68
1662370680,2457375857,184.8,30.0,29.96,26.13,22.21,25.46
1662370680,2452844236,457.95,40.0,39.95,29.28,41.27,56.3
1662375771,7100936881,111.3,40.0,39.95,27.65,10.03,14.49
1662375771,7588023966,772.76,30.0,30.0,24.6,92.73,113.09
1662375839,9497423395,31.67,30.0,29.91,26.37,3.81,4.32
1662375839,2037590078,149.69,40.0,39.01,31.41,13.81,17.16
1662375962,1662379690,32.35,40.0,40.0,25.19,2.91,4.62
1662375962,13758439002,423.01,40.0,39.78,28.82,38.28,52.84
1662379690,1663277005,1344.39,40.0,39.99,28.14,121.01,171.96
1663121300,6464379663,84.93,35.0,35.0,20.69,8.74,14.78
1663121300,1704136340,11.97,35.0,34.69,23.05,1.24,1.87
1663121333,1663121347,21.64,35.0,34.84,27.13,2.24,2.87
1663121347,1704145964,11.53,35.0,35.0,31.2,1.19,1.33
1663121347,2021436879,96.06,30.0,29.95,27.31,11.55,12.67
1663121372,1673489559,21.95,35.0,34.96,29.59,2.26,2.67
1663121389,1663187241,16.67,35.0,34.97,25.56,1.72,2.35
1663121408,1705462164,21.73,35.0,35.0,23.59,2.24,3.32
1663121417,1702410965,53.36,30.0,29.64,17.74,6.48,10.83
1663121417,1702026653,9.57,35.0,35.0,24.32,0.98,1.42
1663121447,1663989222,453.19,35.0,34.96,22.05,46.67,74.0
1663121447,2175658980,13.27,35.0,35.0,24.29,1.37,1.97
1663186906,10577256013,194.8,35.0,35.0,24.97,20.04,28.08
1663186906,1663186910,14.15,35.0,34.92,24.92,1.46,2.04
1663186910,1663121300,22.34,35.0,34.97,29.17,2.3,2.76
1663187004,1704136339,19.32,35.0,34.89,31.42,1.99,2.21
1663187007,1663121333,288.77,35.0,35.0,22.57,29.7,46.05
1663187007,1663187004,15.6,35.0,35.0,27.37,1.61,2.05
1663187026,1849407404,112.06,35.0,34.96,25.05,11.54,16.11
1663187026,1663121333,15.24,35.0,34.99,22.52,1.57,2.44
1663187111,1704145960,21.11,35.0,34.99,25.97,2.17,2.93
1663187114,1663121372,289.23,35.0,34.97,29.38,29.77,35.44
1663187114,1663187111,14.86,35.0,35.0,24.92,1.53,2.15
1663187155,1663187111,289.01,35.0,34.91,24.55,29.81,42.37
1663187155,1663121372,15.55,35.0,35.0,27.36,1.6,2.05
1663187239,1673489562,22.53,35.0,35.0,26.35,2.32,3.08
1663187241,1663121408,303.23,35.0,34.99,23.2,31.2,47.05
1663187241,1663187239,15.33,35.0,35.0,21.66,1.58,2.55
1663259002,1663187239,300.24,35.0,34.95,28.27,30.92,38.23
1663259002,1663121408,13.93,35.0,34.83,22.77,1.44,2.2
1663277005,1674402760,174.56,40.0,39.99,24.95,15.71,25.19
1663300568,1662217264,58.7,20.0,19.97,15.63,10.58,13.52
1663300568,1662217199,109.57,30.0,29.03,18.79,13.59,20.99
1663949398,1673636046,13.57,30.0,29.53,25.01,1.65,1.95
1663949402,6470057625,281.14,30.0,29.87,19.99,33.89,50.63
1663949402,1663949398,10.79,30.0,29.97,22.78,1.3,1.71
1663949420,1663949427,9.78,30.0,30.0,21.64,1.17,1.63
1663949420,1685842960,238.08,30.0,29.93,21.32,28.63,40.2
1663949427,1673636050,15.95,30.0,29.99,24.24,1.91,2.37
1663949442,1673636060,13.56,35.0,35.0,25.63,1.39,1.9
1663949448,2024881668,366.6,35.0,34.99,24.85,37.72,53.1
1663949448,1663949442,10.04,35.0,34.83,27.06,1.04,1.34
1663949462,1685765520,238.2,35.0,34.96,21.42,24.53,40.03
1663949462,1663949476,7.94,35.0,35.0,29.83,0.82,0.96
1663949476,1673636065,17.63,35.0,34.99,24.97,1.81,2.54
1663949484,1673435226,12.37,30.0,29.87,20.37,1.49,2.19
1663949484,2032511191,74.68,30.0,29.92,21.8,8.99,12.34
1663949559,1673644883,14.32,30.0,29.89,24.2,1.72,2.13
1663949594,1685988134,10.75,30.0,29.97,21.89,1.29,1.77
1663949686,1663978338,14.64,30.0,29.99,26.15,1.76,2.01
1663949762,1663968699,15.3,30.0,29.97,22.12,1.84,2.49
1663949840,2027871445,8.07,35.0,34.99,26.37,0.83,1.1
1663949840,2009824669,91.01,30.0,30.0,24.16,10.92,13.56
1663949881,1665636310,12.52,35.0,34.94,22.53,1.29,2.0
1663949881,1665636315,223.94,30.0,29.92,25.23,26.94,31.96
1663968611,2024730356,175.48,30.0,29.7,18.23,21.27,34.65
1663968611,2024719365,13.92,30.0,29.97,19.53,1.67,2.57
1663968617,1686001070,11.63,30.0,29.82,25.17,1.4,1.66
1663968680,1663968684,13.43,30.0,29.78,19.83,1.62,2.44
1663968680,6470087711,240.84,30.0,29.92,23.84,28.98,36.36
1663968684,1673640253,15.0,30.0,29.88,22.97,1.81,2.35
1663968690,1674528893,10.85,30.0,29.89,27.42,1.31,1.42
1663968696,1663978336,192.21,30.0,29.94,18.45,23.11,37.51
1663968696,1663968701,11.82,30.0,30.0,18.36,1.42,2.32
1663968697,6470041670,171.95,30.0,29.97,21.11,20.66,29.32
1663968697,6470000075,12.68,25.0,24.67,22.56,1.85,2.02
1663968699,1663968697,53.34,30.0,29.95,21.87,6.41,8.78
1663968699,1663968690,14.23,30.0,29.95,24.23,1.71,2.11
1663968701,1663978341,11.94,30.0,29.98,22.73,1.43,1.89
1663968703,1663968719,25.7,30.0,30.0,22.31,3.08,4.15
1663968703,6510813691,82.11,20.0,19.99,14.16,14.79,20.87
1663968719,1663968763,259.31,30.0,29.97,23.97,31.14,38.95
1663968748,6470055891,271.35,30.0,29.99,24.69,32.57,39.57
1663968758,1663968748,20.71,30.0,30.0,21.3,2.48,3.5
1663968758,6510442358,84.23,20.0,19.99,14.23,15.17,21.31
1663968761,1685854897,306.74,30.0,29.6,22.4,37.31,49.3
1663968761,1663968763,12.76,35.0,34.99,28.26,1.31,1.63
1663968763,1708677929,9.66,35.0,34.74,21.45,1.0,1.62
1663978336,1674528878,13.55,30.0,29.99,20.97,1.63,2.33
1663978338,1663300568,44.32,30.0,29.94,24.09,5.33,6.62
1663978338,1663978336,12.65,30.0,29.77,25.63,1.53,1.78
1663978341,6470055890,61.3,30.0,29.98,20.77,7.36,10.63
1663978341,1663949762,13.01,30.0,30.0,24.14,1.56,1.94
1663978351,1665256923,69.26,30.0,29.96,19.85,8.32,12.56
1663978351,1663978354,12.74,35.0,34.57,30.34,1.33,1.51
1663978354,1709006976,14.33,35.0,35.0,24.92,1.47,2.07
1663989213,1768893473,391.92,30.0,29.99,25.4,47.04,55.55
1663989213,1673636032,18.13,35.0,34.93,25.35,1.87,2.57
1663989219,2175658980,453.4,35.0,34.54,22.65,47.25,72.07
1663989219,1663989222,21.31,35.0,34.93,26.1,2.2,2.94
1663989221,1663989219,5.76,35.0,34.94,21.63,0.59,0.96
1663989222,1663989229,8.77,35.0,34.99,20.72,0.9,1.52
1663989229,1663989241,23.31,35.0,34.34,32.45,2.44,2.59
1663989229,1705350261,61.53,35.0,35.0,25.82,6.33,8.58
1663989239,1663989221,24.53,35.0,34.84,29.8,2.53,2.96
1663989239,1664545438,325.19,35.0,34.8,27.52,33.64,42.53
1663989241,1663989239,16.55,35.0,34.95,25.72,1.7,2.32
1663989284,6469117056,152.32,35.0,35.0,24.47,15.67,22.41
1663989284,1664524246,17.72,35.0,34.99,28.15,1.82,2.27
1664023653,2035036945,18.44,40.0,40.0,28.01,1.66,2.37
1664023657,1664023653,54.94,40.0,39.94,27.87,4.95,7.1
1664023659,1664023657,18.01,40.0,40.0,27.45,1.62,2.36
1664023659,6153981607,186.37,40.0,39.93,31.19,16.8,21.51
1664025117,2035042970,79.73,20.0,19.76,14.31,14.52,20.06
1664025117,2035036944,64.62,20.0,19.98,13.96,11.64,16.67
1664025117,2035042964,108.49,20.0,19.88,12.9,19.65,30.27
1664029898,1664023657,68.0,40.0,39.51,34.37,6.2,7.12
1664029898,1665256335,46.69,40.0,40.0,34.55,4.2,4.87
1664046216,2039956230,10.19,30.0,29.89,19.83,1.23,1.85
1664046216,9565432045,113.43,40.0,39.99,31.39,10.21,13.01
1664046217,2176570121,366.8,40.0,39.99,33.7,33.02,39.18
1664046217,1664046233,778.05,40.0,38.85,31.4,72.1,89.19
1664046230,1664046216,713.74,40.0,39.87,23.96,64.45,107.24
1664046230,1702498189,94.81,25.0,24.56,19.06,13.9,17.9
1664046233,6470002745,168.49,40.0,39.98,28.57,15.17,21.23
1664046234,1664046230,88.74,40.0,39.48,29.02,8.09,11.01
1664046236,6470002745,15.24,25.0,25.0,18.91,2.19,2.9
1664046236,2009301930,143.15,40.0,40.0,27.91,12.88,18.46
1664415222,9568620431,1473.3,40.0,39.85,29.65,133.1,178.86
